iter	Passed	Remaining
0	65	6471
1	69	3428
2	73	2386
3	79	1905
4	84	1603
5	89	1407
6	95	1267
7	100	1152
8	106	1074
9	110	998
10	115	935
11	121	887
12	126	843
13	130	803
14	138	783
15	143	751
16	147	719
17	152	693
18	157	672
19	162	649
20	166	625
21	171	607
22	175	588
23	180	571
24	185	556
25	190	540
26	194	525
27	199	511
28	203	499
29	208	486
30	212	473
31	218	464
32	223	453
33	227	442
34	232	432
35	237	421
36	241	411
37	246	401
38	252	394
39	257	386
40	262	378
41	267	369
42	272	360
43	276	352
44	282	344
45	286	336
46	291	328
47	296	320
48	300	313
49	305	305
50	309	297
51	314	290
52	319	283
53	323	275
54	329	269
55	334	262
56	338	255
57	343	248
58	349	242
59	353	235
60	358	229
61	363	223
62	368	216
63	373	209
64	378	203
65	382	197
66	388	191
67	393	185
68	397	178
69	402	172
70	407	166
71	412	160
72	417	154
73	421	148
74	427	142
75	432	136
76	437	130
77	443	125
78	449	119
79	454	113
80	460	107
81	465	102
82	471	96
83	476	90
84	482	85
85	488	79
86	495	74
87	501	68
88	549	67
89	567	63
90	573	56
91	578	50
92	594	44
93	601	38
94	607	31
95	612	25
96	616	19
97	622	12
98	627	6
99	631	0
